iso_code,continent,location,population,median_age,gdp_per_capita,hospital_beds_per_thousand,life_expectancy
IND,Asia,India,1.380004385E9,28.2,6426.674,0.53,69.66
MMR,Asia,Myanmar,5.4409794E7,29.1,5591.597,0.9,67.13
IMN,Europe,Isle of Man,85032.0,"","","",81.4
SVN,Europe,Slovenia,2078932.0,44.5,31400.84,4.5,81.32
ABW,North America,Aruba,106766.0,41.2,35973.781,"",76.29
ISR,Asia,Israel,8655541.0,30.6,33132.32,2.99,82.97
GMB,Africa,Gambia,2416664.0,17.5,1561.767,1.1,62.05
MNP,Oceania,Northern Mariana Islands,57557.0,"","","",76.74
"","",International,"","","","",""
KWT,Asia,Kuwait,4270563.0,33.7,65530.537,2.0,75.49
FIN,Europe,Finland,5540718.0,42.8,40585.721,3.28,81.91
PRY,South America,Paraguay,7132530.0,26.5,8827.01,1.3,74.25
SLB,Oceania,Solomon Islands,686878.0,20.8,2205.923,1.4,73.0
USA,North America,United States,3.31002647E8,38.3,54225.446,2.77,78.86
BDI,Africa,Burundi,1.1890781E7,17.5,702.225,0.8,61.58
SVK,Europe,Slovakia,5459643.0,41.2,30155.152,5.82,77.54
AGO,Africa,Angola,3.2866268E7,16.8,5819.495,"",61.15
SGP,Asia,Singapore,5850343.0,42.4,85535.383,2.4,83.62
HND,North America,Honduras,9904608.0,24.9,4541.795,0.7,75.27
IRN,Asia,Iran,8.3992953E7,32.4,19082.62,1.5,76.68
MSR,North America,Montserrat,4999.0,"","","",74.16
CPV,Africa,Cape Verde,555988.0,25.7,6222.554,2.1,72.98
DJI,Africa,Djibouti,988002.0,25.4,2705.406,1.4,67.11
POL,Europe,Poland,3.7846605E7,41.8,27216.445,6.62,78.73
COL,South America,Colombia,5.0882884E7,32.2,13254.949,1.71,77.29
HRV,Europe,Croatia,4105268.0,44.0,22669.797,5.54,78.49
SMR,Europe,San Marino,33938.0,"",56861.47,3.8,84.97
SYR,Asia,Syria,1.7500657E7,21.7,"",1.5,72.7
MYS,Asia,Malaysia,3.2365998E7,29.9,26808.164,1.9,76.16
FRO,Europe,Faeroe Islands,48865.0,"","","",80.67
GNQ,Africa,Equatorial Guinea,1402985.0,22.4,22604.873,2.1,58.74
MEX,North America,Mexico,1.28932753E8,29.3,17336.469,1.38,75.05
PAK,Asia,Pakistan,2.20892331E8,23.5,5034.708,0.6,67.27
HTI,North America,Haiti,1.1402533E7,24.3,1653.173,0.7,64.0
NZL,Oceania,New Zealand,4822233.0,37.9,36085.843,2.61,82.29
PSE,Asia,Palestine,5101416.0,20.4,4449.898,"",74.05
UZB,Asia,Uzbekistan,3.3469199E7,28.2,6253.104,4.0,71.72
MUS,Africa,Mauritius,1271767.0,37.4,20292.745,3.4,74.99
QAT,Asia,Qatar,2881060.0,31.9,116935.6,1.2,80.23
SSD,Africa,South Sudan,1.1193729E7,19.2,1569.888,"",57.85
BMU,North America,Bermuda,62273.0,"",50669.315,"",82.59
RUS,Europe,Russia,1.4593446E8,39.6,24765.954,8.05,72.58
JOR,Asia,Jordan,1.020314E7,23.2,8337.49,1.4,74.53
THA,Asia,Thailand,6.9799978E7,40.1,16277.671,2.1,77.15
GBR,Europe,United Kingdom,6.7886004E7,40.8,39753.244,2.54,81.32
CMR,Africa,Cameroon,2.6545864E7,18.8,3364.926,1.3,59.29
TUN,Africa,Tunisia,1.1818618E7,32.7,10849.297,2.3,76.7
SLV,North America,El Salvador,6486201.0,27.6,7292.458,1.3,73.32
BEL,Europe,Belgium,1.1589616E7,41.8,42658.576,5.64,81.63
BLZ,North America,Belize,397621.0,25.0,7824.362,1.3,74.62
IRQ,Asia,Iraq,4.0222503E7,20.0,15663.986,1.4,70.6
EGY,Africa,Egypt,1.02334403E8,25.3,10550.206,1.6,71.99
NPL,Asia,Nepal,2.9136808E7,25.0,2442.804,0.3,70.78
LSO,Africa,Lesotho,2142252.0,22.2,2851.153,"",54.33
FLK,South America,Falkland Islands,3483.0,"","","",81.44
ESH,Africa,Western Sahara,597330.0,28.4,"","",70.26
CAN,North America,Canada,3.7742157E7,41.4,44017.591,2.5,82.43
VNM,Asia,Vietnam,9.7338583E7,32.6,6171.884,2.6,75.4
FJI,Oceania,Fiji,896444.0,28.6,8702.975,2.3,67.44
BRA,South America,Brazil,2.12559409E8,33.5,14103.452,2.2,75.88
RWA,Africa,Rwanda,1.2952209E7,20.3,1854.211,"",69.02
SDN,Africa,Sudan,4.3849269E7,19.7,4466.507,0.8,65.31
WLF,Oceania,Wallis and Futuna,11246.0,"","","",79.94
CAF,Africa,Central African Republic,4829764.0,18.3,661.24,1.0,53.28
KNA,North America,Saint Kitts and Nevis,53192.0,"",24654.385,2.3,76.23
GRD,North America,Grenada,112519.0,29.4,13593.877,3.7,72.4
LIE,Europe,Liechtenstein,38137.0,"","",2.397,82.49
COG,Africa,Congo,5518092.0,19.0,4881.406,"",64.57
COD,Africa,Democratic Republic of Congo,8.9561404E7,17.0,808.133,"",60.68
ERI,Africa,Eritrea,3546427.0,19.3,1510.459,0.7,66.32
MDV,Asia,Maldives,540542.0,30.6,15183.616,"",78.92
PNG,Oceania,Papua New Guinea,8947027.0,22.6,3823.194,"",64.5
CUB,North America,Cuba,1.1326616E7,43.1,"",5.2,78.8
FRA,Europe,France,6.5273512E7,42.0,38605.671,5.98,82.66
UKR,Europe,Ukraine,4.3733759E7,41.4,7894.393,8.8,72.06
TJK,Asia,Tajikistan,9537642.0,23.3,2896.913,4.8,71.1
VGB,North America,British Virgin Islands,30237.0,"","","",79.07
GEO,Asia,Georgia,3989175.0,38.7,9745.079,2.6,73.77
LKA,Asia,Sri Lanka,2.141325E7,34.1,11669.077,3.6,76.98
ZAF,Africa,South Africa,5.930869E7,27.3,12294.876,2.32,64.13
GRC,Europe,Greece,1.0423056E7,45.3,24574.382,4.21,82.24
JPN,Asia,Japan,1.26476458E8,48.2,39002.223,13.05,84.63
SAU,Asia,Saudi Arabia,3.4813867E7,31.9,49045.411,2.7,75.13
AZE,Asia,Azerbaijan,1.0139175E7,32.4,15847.419,4.7,73.0
LCA,North America,Saint Lucia,183629.0,34.9,12951.839,1.3,76.2
GHA,Africa,Ghana,3.1072945E7,21.1,4227.63,0.9,64.07
PRI,North America,Puerto Rico,2860840.0,38.2,35044.67,"",80.1
ARM,Asia,Armenia,2963234.0,35.7,8787.58,4.2,75.09
GIB,Europe,Gibraltar,33691.0,"","","",79.93
TLS,Asia,Timor,1318442.0,18.0,6570.102,5.9,69.5
LTU,Europe,Lithuania,2722291.0,43.5,29524.265,6.56,75.93
MLI,Africa,Mali,2.0250834E7,16.4,2014.306,0.1,59.31
AFG,Asia,Afghanistan,3.8928341E7,18.6,1803.987,0.5,64.83
OWID_KOS,Europe,Kosovo,1932774.0,"",9795.834,"",""
AUT,Europe,Austria,9006400.0,44.4,45436.686,7.37,81.54
HKG,Asia,Hong Kong,7496988.0,44.8,56054.92,"",84.86
